WEEK,MACRO_CATEGORY,CATEGORY,SUB_CATEGORY,TOTAL_PRICE_USD
2024-01-01,Arte y Manualidades,Pintura,Paletas y Esponjas,5.85
2024-01-01,Bebidas,Vinos,Vino blanco,43320.84
2024-01-01,Bebidas,Cafés y tés listos para beber,Café listo,892.20
2024-01-01,Bebidas,Energéticas e isotónicas,Energizantes,35158.12
2024-01-01,Bebidas,Ready to Drink,Cocteles,6404.20
2024-01-01,Bebidas,Licores y aperitivos,Brandys,46.90
2024-01-01,Bebidas,Jugos y néctares,Jugos,38581.84
2024-01-01,Bebidas,Ready to Drink,Coolers,8748.30
2024-01-01,Bebidas,Licores y aperitivos,Rones,64930.98
2024-01-01,Bebidas,Licores y aperitivos,Ginebras,24684.24
2024-01-01,Bebidas,Refrescos en polvo y jarabe,Refrescos en polvo,1167.20
2024-01-01,Bebidas,Licores y aperitivos,Aguardientes,138509.88
2024-01-01,Bebidas,Ready to Drink,Seltzers,701.58
2024-01-01,Bebidas,Cafés y tés listos para beber,Té listo,37129.38
2024-01-01,Bebidas,Refrescos en polvo y jarabe,Jarabe,364.14
2024-01-01,Bebidas,Aguas,Agua saborizada,20997.26
2024-01-01,Bebidas,Licores y aperitivos,Mezcales,681.10
2024-01-01,Bebidas,Aguas,Agua Natural Gasificada,8726.22
2024-01-01,Bebidas,Energéticas e isotónicas,Isotónicos,31984.68
2024-01-01,Bebidas,Licores y aperitivos,Aperitivos,22077.06
2024-01-01,Bebidas,Vinos,Espumantes,34326.20
2024-01-01,Bebidas,Licores y aperitivos,Cremas de licor,15039.00
2024-01-01,Bebidas,Jugos y néctares,Néctares,2010.50
2024-01-01,Bebidas,Licores y aperitivos,Tequilas,75881.72
2024-01-01,Bebidas,Aguas,Agua Natural,83623.92
2024-01-01,Bebidas,Licores y aperitivos,Whiskys,152741.98
2024-01-01,Bebidas,Vinos,Vino rosado,17073.06
2024-01-01,Bebidas,Licores y aperitivos,Vodkas,25247.20
2024-01-01,Bebidas,Vinos,Vino tinto,89026.34
2024-01-01,Bebidas,Cervezas y sidras,Cervezas,476268.30
2024-01-01,Bebidas,Gaseosas,Gaseosas,205986.90
2024-01-01,Bebidas,Licores y aperitivos,Bases para cócteles,1455.20
2024-01-01,Bebidas,Bebidas de cereal,Bebidas de cereal,12391.60
2024-01-01,Cigarrillos,Vaporizadores y dispositivos,Vaporizadores y dispositivos,371360.78
2024-01-01,Cigarrillos,Cigarrillos,Cigarrillos,189102.42
2024-01-01,Cigarrillos,Habanos,Habanos,654.76
2024-01-01,Comida fresca,Quesos,Quesos esparcibles,8944.20
2024-01-01,Comida fresca,Huevos,Huevos,139750.52
2024-01-01,Comida fresca,Quesos,Quesos frescos,87134.22
2024-01-01,Comida fresca,Yogurt y bebidas lácteas,Postres refrigerados,1953.20
2024-01-01,Comida fresca,Crema y derivados,Otras cremas,81.24
2024-01-01,Comida fresca,Frutas y verduras,"Papas, yucas y tuberculos",12658.60
2024-01-01,Comida fresca,Yogurt y bebidas lácteas,Otros Yogurt y bebidas lácteas,6883.84
2024-01-01,Comida fresca,Pescados y Mariscos,Mariscos,1780.04
2024-01-01,Comida fresca,Quesos,Quesos maduros,21049.52
2024-01-01,Comida fresca,Quesos,Quesos semiduros,12926.12
2024-01-01,Comida fresca,Pescados y Mariscos,Pescados,6196.02
2024-01-01,Comida fresca,Mantequillas y margarinas,Mantequilla,13443.96
2024-01-01,Comida fresca,Carnes,Cerdo,7613.52
2024-01-01,Comida fresca,Crema y derivados,Leche condensada,2762.00
2024-01-01,Comida fresca,Frutas y verduras,Pulpa de Fruta,59.30
2024-01-01,Comida fresca,Leche,Leche natural,78282.36
2024-01-01,Comida fresca,Crema y derivados,Crema,15052.84
