MONTH,ZONA,CAT,NUM_SKUS_TURBO,USERS_TURBO,ORDERS_TURBO,TOTAL_PRICE_USD_TURBO,SOLD_UNITS_TURBO,AVG_TICKET_TURBO,MDOWN_AVG_TURBO,NUM_SKUS_SUPER,USERS_SUPER,ORDERS_SUPER,TOTAL_PRICE_USD_SUPER,SOLD_UNITS_SUPER,AVG_TICKET_SUPER,MDOWN_AVG_SUPER,NPI,AOV_TURBO,BASKET_SIZE_TURBO,FREQUENCY_TURBO,AOV_SUPER,BASKET_SIZE_SUPER,FREQUENCY_SUPER
2022-01-01,Bogotá,CERVEZAS,39,19660,30413,186718.05,57010,3.332489467,0.04833189141,32,3710,4444,30142.3,9611,3.227774799,0.05429233833,1.032441752,6.13941571,1.874527,1.546948,6.78269577,2.162691,1.197844
2022-01-01,Bogotá,CERVEZAS,32,552,862,5635.92,1749,3.304380668,0.0667954442,26,184,235,1709.84,545,3.170179009,0.05110271141,1.042332518,6.53819026,2.029002,1.561594,7.27591489,2.319149,1.277174
2022-01-01,Cali y Bucaramanga,CERVEZAS,33,1780,2973,18149.28,5405,3.414162714,0.03702044502,28,564,673,4456.66,1452,3.151354842,0.04065109569,1.083395201,6.10470232,1.818029,1.670225,6.62208024,2.157504,1.193262
2022-01-01,Costa,CERVEZAS,22,3008,5025,32952.24,9648,3.466564983,0.08692634566,19,444,531,3814.54,1288,3.046712629,0.04904353215,1.137805039,6.5576597,1.92,1.670545,7.18369115,2.425612,1.195946
2022-01-01,Costa,CERVEZAS,21,1091,1598,11093.63,3272,3.425882884,0.102540848,20,659,831,6384.43,2093,3.124689399,0.03433838995,1.096391496,6.9421965,2.047559,1.464711,7.68282792,2.518652,1.261002
2022-01-01,Medellín,CERVEZAS,19,7099,11277,61090.43,19007,3.247008293,0.04601563245,18,2134,2639,16596.08,5499,3.116347969,0.04399048647,1.041927386,5.41725902,1.685466,1.588534,6.28877605,2.083744,1.236645
2022-02-01,Bogotá,CERVEZAS,41,20554,31564,196615.5,57695,3.454832156,0.07772165693,38,3621,4209,26450.84,8247,3.286342663,0.0680250337,1.051269606,6.22910594,1.827874,1.535662,6.28435258,1.959373,1.162386
2022-02-01,Bogotá,CERVEZAS,31,378,545,3384.08,1008,3.399902732,0.07280154589,23,165,194,1237.29,391,3.223424281,0.06219263342,1.05474875,6.2093211,1.849541,1.441799,6.37778351,2.015464,1.175758
2022-02-01,Cali y Bucaramanga,CERVEZAS,36,1910,3304,21063.56,5868,3.620943226,0.07492534845,29,421,504,3307.45,1045,3.278920351,0.03724093327,1.104309601,6.37516949,1.776029,1.729843,6.56240079,2.073413,1.19715
2022-02-01,Costa,CERVEZAS,33,3142,5263,33653.2,9828,3.465981282,0.09234072784,28,414,481,3277.51,1083,3.183988875,0.05100345401,1.088565764,6.39429983,1.867376,1.675048,6.8139501,2.251559,1.161836
2022-02-01,Costa,CERVEZAS,27,927,1412,10429.97,3022,3.505732402,0.09151511304,24,439,527,3751.36,1204,3.282872606,0.04652696311,1.067885606,7.38666431,2.140227,1.523193,7.11833017,2.28463,1.200456
2022-02-01,Medellín,CERVEZAS,30,8377,13343,75076.26,22573,3.368933953,0.06666399355,26,2167,2594,15906.12,5084,3.236524967,0.05297018334,1.04091085,5.62664019,1.691748,1.592814,6.13188897,1.959907,1.197047
2022-03-01,Bogotá,CERVEZAS,32,420,656,4634.35,1370,3.469235598,0.05504419109,26,197,220,1591.85,491,3.200989018,0.1037577175,1.083801156,7.06455793,2.088415,1.561905,7.23568182,2.231818,1.116751
2022-03-01,Bogotá,CERVEZAS,38,22477,35474,212896.35,65204,3.317126965,0.05694293942,35,4487,5306,37483.89,11128,3.447053029,0.09536907824,0.9623080753,6.00147573,1.838079,1.578236,7.0644346,2.097248,1.182527
2022-03-01,Cali y Bucaramanga,CERVEZAS,36,2060,3355,19273.13,5746,3.402023022,0.04977305003,33,618,750,6080.45,1881,3.289800518,0.08149436904,1.034112252,5.74459911,1.712668,1.628641,8.10726667,2.508,1.213592
2022-03-01,Cali y Bucaramanga,CERVEZAS,22,183,265,1492.61,491,3.358025779,0.003779720506,18,210,261,3182.12,1123,3.128459862,0.06188407946,1.073379851,5.63249057,1.85283,1.448087,12.19203065,4.302682,1.242857
2022-03-01,Costa,CERVEZAS,31,1124,1707,12172.57,3592,3.457471148,0.05987376181,27,470,595,4609.05,1460,3.265642602,0.05324066404,1.058741439,7.13097247,2.104277,1.518683,7.74630252,2.453782,1.265957
2022-03-01,Costa,CERVEZAS,34,3750,6437,41320.99,12280,3.430085897,0.06488171748,28,597,712,5595.03,1816,3.298961999,0.09477744108,1.039747017,6.41929315,1.907721,1.716533,7.8581882,2.550562,1.19263
2022-03-01,Medellín,CERVEZAS,31,9424,15417,85782.17,26049,3.358312665,0.0543260677,27,2539,3055,18984.47,6071,3.199744646,0.07681344423,1.049556461,5.56412856,1.689628,1.63593,6.21422913,1.987234,1.20323
2022-04-01,Bogotá,CERVEZAS,38,26003,42473,279020.07,78506,3.626784831,0.07355137134,35,4678,5431,37225.28,10715,3.526876819,0.0728718714,1.028327616,6.56935159,1.848374,1.633388,6.85422206,1.972933,1.160966
2022-04-01,Bogotá,CERVEZAS,28,446,812,5699.01,1557,3.690739421,0.107923693,20,212,233,1737.81,513,3.425940798,0.06081062515,1.077292235,7.01848522,1.917488,1.820628,7.45841202,2.201717,1.099057
2022-04-01,Cali y Bucaramanga,CERVEZAS,39,2628,4355,27706.98,7430,3.759071082,0.06678010524,33,814,976,7021.37,2026,3.48202506,0.07908263956,1.079564626,6.36210792,1.706085,1.657154,7.19402664,2.07582,1.199017
2022-04-01,Cali y Bucaramanga,CERVEZAS,26,434,659,3971.28,1122,3.632948495,0.01111728277,23,302,349,2501.59,751,3.42512979,0.03265644564,1.060674695,6.02622155,1.70258,1.518433,7.16787966,2.151862,1.155629
2022-04-01,Costa,CERVEZAS,29,3859,6802,45626.2,12704,3.666032426,0.08773516365,25,556,642,4597.05,1373,3.450634967,0.08467733992,1.062422557,6.70776242,1.867686,1.762633,7.16051402,2.138629,1.154676
2022-04-01,Costa,CERVEZAS,29,1314,2076,15534.89,4186,3.761117089,0.06236777317,27,634,795,7024.02,2000,3.569941586,0.04430415084,1.053551437,7.48308767,2.016378,1.579909,8.83524528,2.515723,1.253943
2022-04-01,Medellín,CERVEZAS,31,10937,18513,110707.81,31255,3.600841743,0.062663607,29,2733,3288,22091.68,6397,3.462437964,0.08224965138,1.039972927,5.98000378,1.688273,1.692695,6.71888078,1.94556,1.203074
