MONTH,ZONA,CAT,NUM_SKUS_TURBO,USERS_TURBO,ORDERS_TURBO,TOTAL_PRICE_USD_TURBO,SOLD_UNITS_TURBO,AVG_TICKET_TURBO,MDOWN_AVG_TURBO,NUM_SKUS_CARULLA,USERS_CARULLA,ORDERS_CARULLA,TOTAL_PRICE_USD_CARULLA,SOLD_UNITS_CARULLA,AVG_TICKET_CARULLA,MDOWN_AVG_CARULLA,NPI,AOV_TURBO,BASKET_SIZE_TURBO,FRQUENCY_TURBO,AOV_CARULLA,BASKET_SIZE_CARULLA,FRQUENCY_CARULLA
2022-01-01,Bogotá,CERVEZAS,39,19660,30413,186718.05,57010,3.332489467,0.04833189141,29,4587,5644,41523.76,12898,3.287802419,0.09149730412,1.013591768,6.13941571,1.874527,1.546948,7.35715096,2.285259,1.230434
2022-01-01,Bogotá,CERVEZAS,32,552,862,5635.92,1749,3.304380668,0.0667954442,23,197,277,1871.04,565,3.328261071,0.08567060456,0.9928249611,6.53819026,2.029002,1.561594,6.75465704,2.039711,1.406091
2022-01-01,Cali y Bucaramanga,CERVEZAS,33,1780,2973,18149.28,5405,3.414162714,0.03702044502,29,524,592,4199.12,1310,3.262203318,0.0886748098,1.046581828,6.10470232,1.818029,1.670225,7.09310811,2.212838,1.129771
2022-01-01,Costa,CERVEZAS,22,3008,5025,32952.24,9648,3.466564983,0.08692634566,18,448,527,4137.76,1297,3.214142157,0.1244398956,1.078535054,6.5576597,1.92,1.670545,7.851537,2.461101,1.176339
2022-01-01,Costa,CERVEZAS,21,1091,1598,11093.63,3272,3.425882884,0.102540848,19,763,970,7694.71,2428,3.177841399,0.05933957067,1.07805345,6.9421965,2.047559,1.464711,7.93269072,2.503093,1.271298
2022-01-01,Medellín,CERVEZAS,19,7099,11277,61090.43,19007,3.247008293,0.04601563245,16,1581,1911,12318.19,3875,3.269005829,0.06914360897,0.9932708789,5.41725902,1.685466,1.588534,6.4459393,2.027734,1.208729
2022-02-01,Bogotá,CERVEZAS,31,378,545,3384.08,1008,3.399902732,0.07280154589,24,187,256,1854.88,538,3.443939828,0.08252008788,0.9872131633,6.2093211,1.849541,1.441799,7.245625,2.101563,1.368984
2022-02-01,Bogotá,CERVEZAS,41,20554,31564,196615.5,57695,3.454832156,0.07772165693,33,4306,5155,34953.67,10424,3.424232556,0.07973447134,1.008936192,6.22910594,1.827874,1.535662,6.78053734,2.022114,1.197167
2022-02-01,Cali y Bucaramanga,CERVEZAS,36,1910,3304,21063.56,5868,3.620943226,0.07492534845,25,329,376,2645.49,799,3.37357247,0.08395046951,1.073326054,6.37516949,1.776029,1.729843,7.03587766,2.125,1.142857
2022-02-01,Costa,CERVEZAS,33,3142,5263,33653.2,9828,3.465981282,0.09234072784,24,362,399,2868.63,892,3.357726524,0.1079223353,1.032240493,6.39429983,1.867376,1.675048,7.18954887,2.235589,1.10221
2022-02-01,Costa,CERVEZAS,27,927,1412,10429.97,3022,3.505732402,0.09151511304,23,575,703,5643.57,1706,3.408476312,0.06736553,1.028533597,7.38666431,2.140227,1.523193,8.02783784,2.426743,1.222609
2022-02-01,Medellín,CERVEZAS,30,8377,13343,75076.26,22573,3.368933953,0.06666399355,24,1408,1678,10548.49,3251,3.371465102,0.06169018917,0.9992492438,5.62664019,1.691748,1.592814,6.28634684,1.937426,1.191761
